timestamp,emotion,eng_raw,eng_smooth
1765720077.5672722,sad,0.4553523659706116,0.4553523659706116
1765720078.2544498,sad,0.39664122462272644,0.39664122462272644
1765720078.8111436,sad,0.40092769265174866,0.40092769265174866
1765720079.4234133,sad,0.40759366750717163,0.40759366750717163
1765720080.0617175,neutral,0.4758748412132263,0.4758748412132263
1765720080.6330833,happy,0.4675142914056778,0.4675142914056778
1765720081.2564042,happy,0.9827301502227783,0.9827301502227783
1765720081.8335478,sad,0.39008504152297974,0.39008504152297974
1765720082.426267,fear,0.38925838470458984,0.38925838470458984
1765720083.040477,neutral,0.5574336051940918,0.5574336051940918
1765720083.6056876,happy,0.7890043258666992,0.7890043258666992
1765720084.2329457,happy,0.9898146986961365,0.9898146986961365
1765720084.8736832,happy,0.9814035296440125,0.9814035296440125
1765720085.3986824,happy,0.9871444702148438,0.9871444702148438
1765720086.0057287,happy,0.9909616708755493,0.9909616708755493
1765720086.6167274,happy,0.9971081614494324,0.9971081614494324
1765720087.2098403,happy,0.9972853064537048,0.9972853064537048
1765720087.8002205,happy,0.9946808815002441,0.9946808815002441
1765720088.4095774,happy,0.9938575029373169,0.9938575029373169
1765720088.997447,happy,0.9931923151016235,0.9931923151016235
1765720089.5884714,happy,0.9964829087257385,0.9964829087257385
1765720090.2571301,happy,0.9983946084976196,0.9983946084976196
1765720090.857179,happy,0.9850848913192749,0.9850848913192749
1765720091.439729,happy,0.9942925572395325,0.9942925572395325
1765720091.9915733,happy,0.9986793398857117,0.9986793398857117
1765720092.6318638,happy,0.9954120516777039,0.9954120516777039
1765720093.2156034,happy,0.994481086730957,0.994481086730957
1765720093.822874,happy,0.9903652667999268,0.9903652667999268
1765720094.4236486,angry,0.33367016911506653,0.33367016911506653
1765720095.027185,angry,0.3296920955181122,0.3296920955181122
1765720095.6727822,angry,0.3421594798564911,0.3421594798564911
1765720096.2208343,sad,0.4036625921726227,0.4036625921726227
1765720096.829442,sad,0.3976536989212036,0.3976536989212036
1765720097.4189014,neutral,0.466610312461853,0.466610312461853
1765720098.0331361,angry,0.42446696758270264,0.42446696758270264
1765720098.6103516,sad,0.40503546595573425,0.40503546595573425
1765720099.2085435,angry,0.3854205906391144,0.3854205906391144
1765720099.8452334,sad,0.39285215735435486,0.39285215735435486
1765720100.4250119,fear,0.38468503952026367,0.38468503952026367
1765720101.0127902,sad,0.40942153334617615,0.40942153334617615
1765720101.6278625,angry,0.3322843611240387,0.3322843611240387
